약수터명,소재지도로명주소,소재지지번주소,위도,경도,지정일자,일평균이용인구수,수질검사일자,수질검사결과구분,부적합항목,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
천보,,경기도 의정부시 금오동 산45-1,37.7592404219,127.0603820941,,60,2016-09-07,적합,,031-828-4433,경기도 의정부시청,2019-10-03,3820000,경기도 의정부시
귀성약수터,인천광역시남동구만의골로222,인천광역시 남동구 장수동 22-4,37.46227725,126.772928,2008-10-01,300,2019-10-01,적합,,032-453-2651,인천광역시 남동구청,2019-12-24,3530000,인천광역시 남동구
감로천약수터,,인천광역시 남동구 만수동 산 1-4,37.468825,126.732545,2003-01-01,100,2019-10-01,부적합,"총대장균군,분원성대장균군",032-453-2651,인천광역시 남동구청,2019-12-24,3530000,인천광역시 남동구
불로약수터,인천광역시 남동구 만월로 2-1,인천광역시 남동구 만수동 산 2-2,37.46883023,126.7242531,2003-01-01,100,2019-10-01,부적합,채수불가,032-453-2651,인천광역시 남동구청,2019-12-24,3530000,인천광역시 남동구
은행약수터,인천광역시 남동구 만월로 2-1,인천광역시 남동구 만수동 산 2-2,37.46883023,126.7242531,2003-01-01,100,2019-10-01,적합,,032-453-2651,인천광역시 남동구청,2019-12-24,3530000,인천광역시 남동구
오봉산약수터,,인천광역시 남동구 도림동 산 48-14,37.415001,126.733674,2003-01-01,250,2019-10-01,적합,,032-453-2651,인천광역시 남동구청,2019-12-24,3530000,인천광역시 남동구
담양군 한재골약수터,전라남도 담양군 대전면 평장리 산 100-6,전라남도 담양군 대전면 평장리 산100-6,35.3091268491,126.874591,2008-03-01,100,2019-02-18,적합,없음,061-380-3327,담양군 물순환사업소,2019-09-17,4850000,전라남도 담양군
담양군 물통공약수터,전라남도 담양군 용면 쌍태리 산5,전라남도 담양군 용면 쌍태리 산5,35.3950113587,126.9764290725,2008-03-01,50,2019-02-18,적합,없음,061-380-3327,담양군 물순환사업소,2019-09-17,4850000,전라남도 담양군
담양군 옥천골약수터,전라남도 담양군 대덕면 문학리 산66,전라남도 담양군 대덕면 문학리 산66,35.2421592586,127.072374,2008-03-01,250,2019-02-18,적합,없음,061-380-3327,담양군 물순환사업소,2019-09-17,4850000,전라남도 담양군
담양군 죽림약수터,전라남도 담양군 가사문학면 인암리 산95-3,전라남도 담양군 가사문학면 인암리 산95-3,35.1376451408,127.0694876366,2008-03-01,50,2019-02-18,적합,없음,061-380-3327,담양군 물순환사업소,2019-09-17,4850000,전라남도 담양군
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2019-05-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2019-05-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2019-05-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2019-05-22,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2019-05-22,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
향교약수터,,경기도 이천시 창전동 502,37.2872394,127.435541,,90,2019-12-12,적합,,031-644-4236,이천시 이천시청(수도과),2020-01-20,4070000,경기도 이천시
한우물약수터,,경기도 이천시 장호원읍 대서리 921,37.1127078,127.5705125,,150,2019-12-12,적합,,031-644-4236,이천시 이천시청(수도과),2020-01-20,4070000,경기도 이천시
범아가리약수터,,인천광역시 남동구 논현동 산 66-1,37.406795,126.714486,,100,2019-10-01,부적합,"총대장균군,분원성대장균군",032-453-2651,인천광역시 남동구청,2019-12-24,3530000,인천광역시 남동구
약사사약수터,인천광역시 남동구 풀무로 48,인천광역시 남동구 간석동 12-3,37.47187726,126.7128332,,100,2019-10-01,부적합,"총대장균군,분원성대장균군",032-453-2651,인천광역시 남동구청,2019-12-24,3530000,인천광역시 남동구
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2019-01-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2019-01-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2019-01-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
만수약수터,,경기도 동두천시 상패동 산 36,37.913589,127.043281,,130,2019-01-24,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
동암약수터,,경기도 동두천시 보산동 산 13-1,37.920463,127.072736,,30,2019-01-24,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
88약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2019-01-24,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
창말약수터,,경기도 동두천시 동두천동 8,37.933087,127.064892,,65,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
옥녀봉약수터,,경기도 동두천시 상패동 산 77-7,37.906331,127.034151,,20,2019-02-26,부적합,미검사(수원고갈),031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
신선약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,20,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
시민약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,60,2019-02-26,부적합,총대장균균,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산일주문약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
소요산광장약수터,,경기도 동두천시 상봉암동 산 1,37.9453481,127.0864835,,180,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
생골약수터,,경기도 동두천시 생연동 산 70,37.899604,127.074691,,30,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
상패7통약수터,,경기도 동두천시 상패동 144,37.908502,127.041801,,0,2019-02-26,부적합,시설폐쇄,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보은약수터,,경기도 동두천시 안흥동 산 70,37.9221134301,127.0477996789,,60,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
보문사약수터,,경기도 동두천시 생연동 산 15-5,37.911061,127.068687,,80,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
무지개약수터,,경기도 동두천시 안흥동 산 71,37.918715,127.043063,,60,2019-02-26,적합,,031-860-2471,경기도 동두천시청,2019-08-31,3920000,경기도 동두천시
